state_id,state_cn,state_group,channel,status,rows,active_rows,planned_rows,active_weight_sum,example_active_metrics,example_planned_metrics
S05,韵律/表达性,声学辅助,结构化医患对话,active,12,8,4,0.017429999999999998,响度变异；平均基频；基频/音高；响度/音量动态,平均响度；响度/音量动态
S05,韵律/表达性,声学辅助,图片描述,active,24,16,8,0.02794,响度变异；平均基频；基频/音高；响度/音量动态,平均响度；响度/音量动态
S05,韵律/表达性,声学辅助,疾病进展语音,active,12,8,4,0.0279,响度变异；平均基频；基频/音高；响度/音量动态,平均响度；响度/音量动态
S05,韵律/表达性,声学辅助,TalkBank/DementiaBank,planned,31,0,31,0.0,,平均基频；基频变异；平均响度；响度变异
S05,韵律/表达性,声学辅助,公开视频,not_present,0,0,0,0.0,,
S06,谱特征/构音模式,模型辅助,结构化医患对话,active,73,73,0,0.003980000000000001,共振峰带宽；低频谱斜率；声源谱倾斜/谐波结构；中频谱斜率,
S06,谱特征/构音模式,模型辅助,图片描述,active,146,146,0,0.012199999999999999,共振峰带宽；低频谱斜率；声源谱倾斜/谐波结构；中频谱斜率,
S06,谱特征/构音模式,模型辅助,疾病进展语音,active,73,73,0,0.00829,共振峰带宽；低频谱斜率；声源谱倾斜/谐波结构；中频谱斜率,
S06,谱特征/构音模式,模型辅助,TalkBank/DementiaBank,planned,78,0,78,0.0,,谱特征 1-12 均值/标准差；eGeMAPS 谱特征 1-4；共振峰频率；谱倾斜/声质谱指标
S06,谱特征/构音模式,模型辅助,公开视频,active,73,73,0,0.003980000000000001,共振峰带宽；低频谱斜率；声源谱倾斜/谐波结构；中频谱斜率,
S07,词汇提取/具体性,文本语言,结构化医患对话,active,2,2,0,0.1,名词比例；代词比例,
S07,词汇提取/具体性,文本语言,图片描述,active,4,2,2,0.14,名词比例；代词比例,名词比例；代词比例
S07,词汇提取/具体性,文本语言,疾病进展语音,planned,2,0,2,0.0,,名词比例；代词比例
S07,词汇提取/具体性,文本语言,TalkBank/DementiaBank,active,5,2,3,0.18,名词比例；代词比例,内容词/功能词比；词频/常见词依赖；模糊词比例
S07,词汇提取/具体性,文本语言,公开视频,active,2,2,0,0.12,名词比例；代词比例,
S08,词汇多样性,文本语言,结构化医患对话,active,3,3,0,0.05094,移动平均词汇多样性；文本词汇多样性；type-token ratio,
S08,词汇多样性,文本语言,图片描述,active,6,3,3,0.042914,type-token ratio；移动平均词汇多样性；文本词汇多样性,移动平均词汇多样性；文本词汇多样性；type-token ratio
S08,词汇多样性,文本语言,疾病进展语音,planned,3,0,3,0.0,,移动平均词汇多样性；文本词汇多样性；type-token ratio
S08,词汇多样性,文本语言,TalkBank/DementiaBank,active,5,3,2,0.08151,移动平均词汇多样性；文本词汇多样性；type-token ratio,不同词数量；词汇密度
S08,词汇多样性,文本语言,公开视频,active,3,3,0,0.06114,移动平均词汇多样性；文本词汇多样性；type-token ratio,
S09,语义连贯/话语组织,语义话语,结构化医患对话,not_present,0,0,0,0.0,,
S09,语义连贯/话语组织,语义话语,图片描述,planned,8,0,8,0.0,,TF-IDF 语义连贯；任务相关性；话题漂移；embedding 连贯
S09,语义连贯/话语组织,语义话语,疾病进展语音,planned,4,0,4,0.0,,embedding 连贯；TF-IDF 语义连贯；任务相关性；话题漂移
S09,语义连贯/话语组织,语义话语,TalkBank/DementiaBank,planned,4,0,4,0.0,,TF-IDF 语义连贯；任务相关性；话题漂移；embedding 连贯
S09,语义连贯/话语组织,语义话语,公开视频,planned,4,0,4,0.0,,embedding 连贯；TF-IDF 语义连贯；任务相关性；话题漂移
S10,信息密度/内容单元,内容评分,结构化医患对话,not_present,0,0,0,0.0,,
S10,信息密度/内容单元,内容评分,图片描述,planned,8,0,8,0.0,,内容信息单位；核心词汇覆盖；单位时间信息量；命题/观点密度
S10,信息密度/内容单元,内容评分,疾病进展语音,planned,4,0,4,0.0,,内容信息单位；核心词汇覆盖；命题/观点密度；单位时间信息量
S10,信息密度/内容单元,内容评分,TalkBank/DementiaBank,planned,4,0,4,0.0,,内容信息单位；核心词汇覆盖；单位时间信息量；命题/观点密度
S10,信息密度/内容单元,内容评分,公开视频,planned,4,0,4,0.0,,内容信息单位；核心词汇覆盖；命题/观点密度；单位时间信息量
S11,句法复杂度,句法语言,结构化医患对话,active,3,3,0,0.08,依存距离；平均话语长度；从句/话语比例,
S11,句法复杂度,句法语言,图片描述,active,6,3,3,0.045005,依存距离；平均话语长度；从句/话语比例,从句/话语比例；平均话语长度；依存距离
S11,句法复杂度,句法语言,疾病进展语音,not_present,0,0,0,0.0,,
S11,句法复杂度,句法语言,TalkBank/DementiaBank,active,5,3,2,0.11999,依存距离；平均话语长度；从句/话语比例,句法树深度；语法错误率
S11,句法复杂度,句法语言,公开视频,not_present,0,0,0,0.0,,
S12,不流利/重复/修正,话语表现,结构化医患对话,not_present,0,0,0,0.0,,
S12,不流利/重复/修正,话语表现,图片描述,active,2,1,1,0.056,重复词比例,重复词比例
S12,不流利/重复/修正,话语表现,疾病进展语音,not_present,0,0,0,0.0,,
S12,不流利/重复/修正,话语表现,TalkBank/DementiaBank,active,4,1,3,0.064,重复词比例,重复二元组比例；修正比例；起始失败次数
S12,不流利/重复/修正,话语表现,公开视频,not_present,0,0,0,0.0,,
S13,互动/语用负担,互动任务,结构化医患对话,active,2,2,0,0.08838,患者说话占比；回答启动延迟,
S13,互动/语用负担,互动任务,图片描述,planned,4,0,4,0.0,,患者说话占比；回答启动延迟
S13,互动/语用负担,互动任务,疾病进展语音,planned,2,0,2,0.0,,患者说话占比；回答启动延迟
S13,互动/语用负担,互动任务,TalkBank/DementiaBank,active,5,2,3,0.027200000000000002,患者说话占比；回答启动延迟,提示次数；访谈者词占比；澄清请求次数
S13,互动/语用负担,互动任务,公开视频,planned,2,0,2,0.0,,患者说话占比；回答启动延迟
S14,任务表现/任务得分,任务评分,结构化医患对话,planned,5,0,5,0.0,,命名正确数；阅读错误率；语义流畅性数量；故事回忆单位
S14,任务表现/任务得分,任务评分,图片描述,not_present,0,0,0,0.0,,
S14,任务表现/任务得分,任务评分,疾病进展语音,not_present,0,0,0,0.0,,
S14,任务表现/任务得分,任务评分,TalkBank/DementiaBank,planned,5,0,5,0.0,,任务完成度；故事回忆单位；命名正确数；语义流畅性数量
S14,任务表现/任务得分,任务评分,公开视频,not_present,0,0,0,0.0,,
