state_id,state_cn,state_group,metric,metric_cn,status,active_weight,active_channels,planned_channels,report_permission,why
S03,发声/构音连续性,声学辅助,egemaps_VoicedSegmentsPerSec,有声段频率；功能统计：该属性在整段语音上的汇总值。,planned,0.0,,TalkBank/DementiaBank; 图片描述; 疾病进展语音; 结构化医患对话,排除：重复或QC敏感,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duplicate eGeMAPS copy of the same pause/continuity/loudness construct; active weight set to 0.
S03,发声/构音连续性,声学辅助,egemaps_loudnessPeaksPerSec,响度峰频率/节奏；功能统计：该属性在整段语音上的汇总值。,planned,0.0,,TalkBank/DementiaBank; 图片描述; 疾病进展语音; 结构化医患对话,排除：重复或QC敏感,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duplicate eGeMAPS copy of the same pause/continuity/loudness construct; active weight set to 0.
S03,发声/构音连续性,声学辅助,loudnessPeaksPerSec,每秒响度峰值,active,0.04981,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。
S04,声音质量,声学辅助,HNRdBACF,谐噪比,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,egemaps_HNRdBACF_sma3nz_amean,声音质量/HNR；均值：该声音属性在整段患者语音中的平均水平。,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,egemaps_HNRdBACF_sma3nz_stddevNorm,声音质量/HNR；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,egemaps_jitterLocal_sma3nz_amean,声音质量/jitter；均值：该声音属性在整段患者语音中的平均水平。,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,egemaps_jitterLocal_sma3nz_stddevNorm,声音质量/jitter；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,egemaps_shimmerLocaldB_sma3nz_amean,声音质量/shimmer；均值：该声音属性在整段患者语音中的平均水平。,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,egemaps_shimmerLocaldB_sma3nz_stddevNorm,声音质量/shimmer；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,equivalentSoundLevel_dBp,等效声级,planned,0.0,,TalkBank/DementiaBank; 图片描述; 结构化医患对话,仅QC，不作为疾病证据,"该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duration/loudness are protocol or recording variables; use only for QC, normalization and negative controls."
S04,声音质量,声学辅助,jitterLocal,基频周期扰动,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S04,声音质量,声学辅助,shimmerLocaldB,振幅扰动,planned,0.0,,TalkBank/DementiaBank,仅模型辅助，不做临床解释,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,F0semitoneFrom27.5Hz_sma3nz_amean,平均基频,active,0.011019999999999999,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。
S05,韵律/表达性,声学辅助,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,基频变异,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,基频/音高；均值：该声音属性在整段患者语音中的平均水平。,active,0.00935,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,基频/音高；平均下降斜率：该属性下降变化的速度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,基频/音高；平均上升斜率：该属性上升变化的速度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,基频/音高；分位范围：高低分位差，表示动态范围。,active,0.01092,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,基频/音高；20 分位数：较低水平的代表值。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,基频/音高；50 分位数/中位数：典型水平。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,基频/音高；80 分位数：较高水平的代表值。,active,0.00728,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标更受长度、录音条件、切分阈值或重复特征影响，所以在同一 state 内降低比例。
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,基频/音高；下降斜率波动：下降变化速度是否稳定。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,基频/音高；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,基频/音高；上升斜率波动：上升变化速度是否稳定。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F1amplitudeLogRelF0_sma3nz_amean,共振峰相对基频幅度；均值：该声音属性在整段患者语音中的平均水平。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F1amplitudeLogRelF0_sma3nz_stddevNorm,共振峰相对基频幅度；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F2amplitudeLogRelF0_sma3nz_amean,共振峰相对基频幅度；均值：该声音属性在整段患者语音中的平均水平。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F2amplitudeLogRelF0_sma3nz_stddevNorm,共振峰相对基频幅度；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F3amplitudeLogRelF0_sma3nz_amean,共振峰相对基频幅度；均值：该声音属性在整段患者语音中的平均水平。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_F3amplitudeLogRelF0_sma3nz_stddevNorm,共振峰相对基频幅度；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_amean,响度/音量动态；均值：该声音属性在整段患者语音中的平均水平。,planned,0.0,,TalkBank/DementiaBank; 图片描述; 疾病进展语音; 结构化医患对话,排除：重复或QC敏感,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duplicate eGeMAPS copy of the same pause/continuity/loudness construct; active weight set to 0.
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_meanFallingSlope,响度/音量动态；平均下降斜率：该属性下降变化的速度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_meanRisingSlope,响度/音量动态；平均上升斜率：该属性上升变化的速度。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_pctlrange0-2,响度/音量动态；分位范围：高低分位差，表示动态范围。,planned,0.0,,TalkBank/DementiaBank; 图片描述; 疾病进展语音; 结构化医患对话,排除：重复或QC敏感,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duplicate eGeMAPS copy of the same pause/continuity/loudness construct; active weight set to 0.
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_percentile20.0,响度/音量动态；20 分位数：较低水平的代表值。,active,0.00728,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标更受长度、录音条件、切分阈值或重复特征影响，所以在同一 state 内降低比例。
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_percentile50.0,响度/音量动态；50 分位数/中位数：典型水平。,active,0.00728,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标更受长度、录音条件、切分阈值或重复特征影响，所以在同一 state 内降低比例。
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_percentile80.0,响度/音量动态；80 分位数：较高水平的代表值。,active,0.00728,图片描述; 疾病进展语音; 结构化医患对话,TalkBank/DementiaBank,谨慎作为临床支持证据,该指标更受长度、录音条件、切分阈值或重复特征影响，所以在同一 state 内降低比例。
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_stddevFallingSlope,响度/音量动态；下降斜率波动：下降变化速度是否稳定。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_stddevNorm,响度/音量动态；标准差/归一化波动：该声音属性的稳定性或变异程度。,planned,0.0,,TalkBank/DementiaBank; 图片描述; 疾病进展语音; 结构化医患对话,排除：重复或QC敏感,该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duplicate eGeMAPS copy of the same pause/continuity/loudness construct; active weight set to 0.
S05,韵律/表达性,声学辅助,egemaps_loudness_sma3_stddevRisingSlope,响度/音量动态；上升斜率波动：上升变化速度是否稳定。,planned,0.0,,TalkBank/DementiaBank,谨慎作为临床支持证据,"TalkBank/DementiaBank 当前本地副本主要是 CHAT transcript；未完成音频文件、时间戳和说话人层级绑定前，不能把声学指标设为 active。 | 2026-07-16 expansion: restored from clinical metric dictionary as planned/backlog row. | 2026-07-16 display update: TalkBank/DementiaBank is treated as neuropsychological audio+transcript channel; audio metrics are planned, not absent."
S05,韵律/表达性,声学辅助,loudness_sma3_amean,平均响度,planned,0.0,,TalkBank/DementiaBank; 图片描述; 疾病进展语音; 结构化医患对话,仅QC，不作为疾病证据,"该指标与 state 匹配，但没有足够理由相对同组指标明显上调或下调。 | 2026-07 revision: duration/loudness are protocol or recording variables; use only for QC, normalization and negative controls."
