uid,task,valid,source_file
atia,Picture Description,Yes,our_preprocessed_train.csv
atmc,Picture Description,Yes,our_preprocessed_train.csv
atnv,Picture Description,Yes,our_preprocessed_validation.csv
atpg,Picture Description,Yes,our_preprocessed_test.csv
aulf,Picture Description,Yes,our_preprocessed_train.csv
avdc,Voice Assistant,Yes,our_preprocessed_train.csv
avvv,Picture Description,Yes,our_preprocessed_train.csv
awam,Sentence Reading,Yes,our_preprocessed_train.csv
awch,Picture Description,Yes,our_preprocessed_train.csv
awck,Picture Description,Yes,our_preprocessed_test.csv
awxj,Picture Description,Yes,our_preprocessed_train.csv
axlk,Sentence Reading,Yes,our_preprocessed_validation.csv
axqe,Picture Description,Yes,our_preprocessed_test.csv
axuy,Picture Description,Yes,our_preprocessed_train.csv
ayqu,Picture Description,Yes,our_preprocessed_train.csv
ayro,Picture Description,Yes,our_preprocessed_train.csv
azfh,Picture Description,Yes,our_preprocessed_test.csv
azlk,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
bacp,Picture Description,Yes,our_preprocessed_train.csv
badu,Sentence Reading,Yes,our_preprocessed_validation.csv
bajg,Picture Description,Yes,our_preprocessed_train.csv
bbki,Picture Description,Yes,our_preprocessed_validation.csv
bbpg,Picture Description,Yes,our_preprocessed_test.csv
bbsj,Picture Description,Yes,our_preprocessed_test.csv
bcap,Picture Description,Yes,our_preprocessed_train.csv
bclu,Voice Assistant,Yes,our_preprocessed_train.csv
bclz,Picture Description,Yes,our_preprocessed_test.csv
bctw,Picture Description,Yes,our_preprocessed_train.csv
bdtr,Picture Description,Yes,our_preprocessed_train.csv
bdxm,Picture Description,Yes,our_preprocessed_train.csv
beca,Sentence Reading,Yes,our_preprocessed_train.csv
befs,Sentence Reading,Yes,our_preprocessed_test.csv
bejn,Picture Description,Yes,our_preprocessed_train.csv
belx,Picture Description,No,our_preprocessed_validation.csv
beqf,Picture Description,Yes,our_preprocessed_test.csv
bezt,Sentence Reading,Yes,our_preprocessed_train.csv
bfpb,Picture Description,Yes,our_preprocessed_test.csv
bfqg,Sentence Reading,Yes,our_preprocessed_train.csv
bfug,Picture Description,Yes,our_preprocessed_train.csv
bfvg,Picture Description,Yes,our_preprocessed_train.csv
bgfc,Sentence Reading,Yes,our_preprocessed_train.csv
bguv,Picture Description,Yes,our_preprocessed_train.csv
bhld,Sentence Reading,Yes,our_preprocessed_test.csv
bhms,Picture Description,Yes,our_preprocessed_train.csv
bhrl,Picture Description,Yes,our_preprocessed_train.csv
bihs,Picture Description,Yes,our_preprocessed_test.csv
bijy,Picture Description,Yes,our_preprocessed_train.csv
bimk,Picture Description,Yes,our_preprocessed_train.csv
bjfy,Semantic Verbal Fluency,Yes,our_preprocessed_test.csv
bjzd,Picture Description,Yes,our_preprocessed_train.csv
bkju,Picture Description,Yes,our_preprocessed_train.csv
bkpm,Picture Description,Yes,our_preprocessed_test.csv
bkrf,Picture Description,Yes,our_preprocessed_train.csv
blde,Picture Description,Yes,our_preprocessed_train.csv
bldi,Picture Description,Yes,our_preprocessed_train.csv
blyu,Picture Description,Yes,our_preprocessed_train.csv
bmok,Picture Description,Yes,our_preprocessed_train.csv
bmrn,Sentence Reading,Yes,our_preprocessed_test.csv
bmxs,Picture Description,Yes,our_preprocessed_test.csv
bnbq,Picture Description,Yes,our_preprocessed_train.csv
bnib,Picture Description,Yes,our_preprocessed_train.csv
bnxv,Picture Description,Yes,our_preprocessed_train.csv
bnza,Picture Description,Yes,our_preprocessed_train.csv
bocs,Voice Assistant,Yes,our_preprocessed_test.csv
bohp,Sentence Reading,Yes,our_preprocessed_train.csv
bove,Picture Description,Yes,our_preprocessed_train.csv
bpdx,Picture Description,Yes,our_preprocessed_train.csv
bphm,Picture Description,Yes,our_preprocessed_train.csv
bpom,Picture Description,Yes,our_preprocessed_train.csv
bqas,Picture Description,Yes,our_preprocessed_validation.csv
bqjw,Voice Assistant,Yes,our_preprocessed_train.csv
brgk,Sentence Reading,Yes,our_preprocessed_train.csv
brou,Picture Description,Yes,our_preprocessed_validation.csv
brpt,Picture Description,Yes,our_preprocessed_train.csv
brrd,Picture Description,Yes,our_preprocessed_train.csv
bspu,Sentence Reading,Yes,our_preprocessed_train.csv
bufm,Picture Description,Yes,our_preprocessed_train.csv
buhv,Picture Description,Yes,our_preprocessed_test.csv
buil,Sentence Reading,Yes,our_preprocessed_validation.csv
bumu,Picture Description,Yes,our_preprocessed_train.csv
buxr,Picture Description,Yes,our_preprocessed_test.csv
buyj,Sentence Reading,Yes,our_preprocessed_validation.csv
bvdl,Picture Description,Yes,our_preprocessed_test.csv
bwcc,Picture Description,Yes,our_preprocessed_test.csv
bwxr,Sentence Reading,Yes,our_preprocessed_train.csv
bxir,Picture Description,Yes,our_preprocessed_train.csv
bxkp,Picture Description,Yes,our_preprocessed_train.csv
bxog,Picture Description,Yes,our_preprocessed_train.csv
byjj,Sentence Reading,Yes,our_preprocessed_train.csv
bymf,Picture Description,Yes,our_preprocessed_train.csv
bynm,Picture Description,Yes,our_preprocessed_test.csv
bzcm,Picture Description,Yes,our_preprocessed_train.csv
catl,Picture Description,Yes,our_preprocessed_test.csv
caur,Picture Description,Yes,our_preprocessed_train.csv
cbmo,Sentence Reading,Yes,our_preprocessed_train.csv
cbyg,Sentence Reading,Yes,our_preprocessed_train.csv
ccbt,Picture Description,Yes,our_preprocessed_validation.csv
cccq,Picture Description,Yes,our_preprocessed_test.csv
cckb,Picture Description,Yes,our_preprocessed_validation.csv
ccli,Picture Description,Yes,our_preprocessed_test.csv
ccpw,Picture Description,Yes,our_preprocessed_train.csv
cepj,Picture Description,Yes,our_preprocessed_train.csv
ceqd,Picture Description,Yes,our_preprocessed_validation.csv
ceux,Other,Yes,our_preprocessed_test.csv
cevp,Picture Description,Yes,our_preprocessed_train.csv
cfis,Picture Description,Yes,our_preprocessed_validation.csv
cfnv,Sentence Reading,Yes,our_preprocessed_train.csv
cgbh,Personal Narrative,Yes,our_preprocessed_train.csv
cgft,Picture Description,Yes,our_preprocessed_train.csv
cgnd,Other,Yes,our_preprocessed_test.csv
cgpu,Picture Description,Yes,our_preprocessed_test.csv
chdv,Picture Description,Yes,our_preprocessed_train.csv
cheh,Voice Assistant,Yes,our_preprocessed_validation.csv
chjk,Semantic Verbal Fluency,Yes,our_preprocessed_validation.csv
chuy,Personal Narrative,Yes,our_preprocessed_validation.csv
chve,Picture Description,Yes,our_preprocessed_validation.csv
chvq,Picture Description,Yes,our_preprocessed_validation.csv
chzo,Picture Description,Yes,our_preprocessed_train.csv
cidn,Picture Description,Yes,our_preprocessed_train.csv
cigp,Picture Description,Yes,our_preprocessed_train.csv
ciie,Picture Description,Yes,our_preprocessed_train.csv
cjuc,Picture Description,Yes,our_preprocessed_train.csv
ckbh,Sentence Reading,Yes,our_preprocessed_test.csv
clip,Picture Description,Yes,our_preprocessed_train.csv
cljn,Picture Description,Yes,our_preprocessed_train.csv
clyp,Sentence Reading,Yes,our_preprocessed_test.csv
cmfz,Picture Description,Yes,our_preprocessed_train.csv
cncw,Picture Description,Yes,our_preprocessed_train.csv
conw,Sentence Reading,Yes,our_preprocessed_train.csv
couz,Story Recall,Yes,our_preprocessed_train.csv
cptu,Picture Description,Yes,our_preprocessed_validation.csv
cpzf,Picture Description,Yes,our_preprocessed_train.csv
cqff,Picture Description,Yes,our_preprocessed_validation.csv
cqyj,Picture Description,Yes,our_preprocessed_train.csv
crea,Sentence Reading,Yes,our_preprocessed_test.csv
crek,Picture Description,Yes,our_preprocessed_train.csv
crjf,Picture Description,Yes,our_preprocessed_train.csv
crpv,Picture Description,Yes,our_preprocessed_train.csv
crxh,Picture Description,Yes,our_preprocessed_train.csv
csgf,Picture Description,Yes,our_preprocessed_test.csv
csss,Picture Description,Yes,our_preprocessed_test.csv
ctgg,Picture Description,Yes,our_preprocessed_validation.csv
ctie,Picture Description,Yes,our_preprocessed_train.csv
ctiq,Voice Assistant,Yes,our_preprocessed_validation.csv
ctiv,Picture Description,Yes,our_preprocessed_train.csv
ctrw,Picture Description,Yes,our_preprocessed_train.csv
ctvq,Sentence Reading,Yes,our_preprocessed_test.csv
cubn,Picture Description,Yes,our_preprocessed_validation.csv
cukq,Sentence Reading,Yes,our_preprocessed_train.csv
cuvv,Picture Description,Yes,our_preprocessed_train.csv
cvko,Sentence Reading,Yes,our_preprocessed_train.csv
cvld,Sentence Reading,Yes,our_preprocessed_test.csv
cvxa,Voice Assistant,Yes,our_preprocessed_train.csv
cwmf,Picture Description,Yes,our_preprocessed_test.csv
cxmp,Picture Description,Yes,our_preprocessed_train.csv
cxne,Picture Description,Yes,our_preprocessed_test.csv
cxzk,Picture Description,Yes,our_preprocessed_train.csv
cyeh,Picture Description,Yes,our_preprocessed_train.csv
cykw,Picture Description,Yes,our_preprocessed_test.csv
cyps,Picture Description,Yes,our_preprocessed_train.csv
cyqq,Picture Description,Yes,our_preprocessed_validation.csv
cyrb,Picture Description,Yes,our_preprocessed_validation.csv
cyth,Picture Description,Yes,our_preprocessed_train.csv
cyxc,Sentence Reading,Yes,our_preprocessed_train.csv
cyzv,Sentence Reading,Yes,our_preprocessed_train.csv
czce,Sentence Reading,Yes,our_preprocessed_test.csv
dajr,Picture Description,Yes,our_preprocessed_train.csv
damg,Picture Description,Yes,our_preprocessed_train.csv
dbdq,Picture Description,Yes,our_preprocessed_train.csv
dblk,Picture Description,Yes,our_preprocessed_train.csv
dbsd,Picture Description,Yes,our_preprocessed_validation.csv
dbxv,Picture Description,Yes,our_preprocessed_test.csv
dcdp,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
dcem,Sentence Reading,Yes,our_preprocessed_train.csv
dcfp,Voice Assistant,Yes,our_preprocessed_train.csv
dcqv,Picture Description,Yes,our_preprocessed_test.csv
dcuv,Picture Description,Yes,our_preprocessed_train.csv
dcxw,Sentence Reading,Yes,our_preprocessed_test.csv
ddcp,Picture Description,Yes,our_preprocessed_train.csv
ddgg,Picture Description,Yes,our_preprocessed_test.csv
ddnp,Picture Description,Yes,our_preprocessed_train.csv
ddqv,Picture Description,Yes,our_preprocessed_validation.csv
ddxn,Picture Description,Yes,our_preprocessed_train.csv
delk,Picture Description,Yes,our_preprocessed_train.csv
denu,Picture Description,Yes,our_preprocessed_validation.csv
depc,Picture Description,Yes,our_preprocessed_test.csv
dewn,Picture Description,Yes,our_preprocessed_train.csv
dezq,Picture Description,Yes,our_preprocessed_train.csv
dffo,Picture Description,Yes,our_preprocessed_test.csv
dfpq,Picture Description,Yes,our_preprocessed_test.csv
dfzb,Picture Description,Yes,our_preprocessed_train.csv
dggg,Picture Description,Yes,our_preprocessed_test.csv
dgkt,Picture Description,Yes,our_preprocessed_test.csv
dgzb,Picture Description,Yes,our_preprocessed_train.csv
dhmg,Picture Description,Yes,our_preprocessed_train.csv
dhvj,Picture Description,Yes,our_preprocessed_train.csv
diws,Picture Description,Yes,our_preprocessed_train.csv
djjn,Picture Description,Yes,our_preprocessed_train.csv
djus,Picture Description,Yes,our_preprocessed_validation.csv
djvv,Picture Description,Yes,our_preprocessed_train.csv
djyu,Sentence Reading,Yes,our_preprocessed_train.csv
dkha,Picture Description,Yes,our_preprocessed_train.csv
dkir,Picture Description,Yes,our_preprocessed_validation.csv
dkrh,Picture Description,Yes,our_preprocessed_train.csv
dlam,Sentence Reading,Yes,our_preprocessed_train.csv
dlgn,Picture Description,Yes,our_preprocessed_validation.csv
dlgr,Picture Description,Yes,our_preprocessed_validation.csv
dlvr,Sentence Reading,Yes,our_preprocessed_test.csv
dmeg,Picture Description,Yes,our_preprocessed_test.csv
dmhg,Picture Description,Yes,our_preprocessed_train.csv
dnmd,Picture Description,Yes,our_preprocessed_test.csv
dokm,Picture Description,Yes,our_preprocessed_train.csv
doqw,Sentence Reading,Yes,our_preprocessed_validation.csv
dpau,Picture Description,Yes,our_preprocessed_train.csv
dpmc,Picture Description,Yes,our_preprocessed_train.csv
dpmk,Picture Description,Yes,our_preprocessed_test.csv
dqvs,Picture Description,Yes,our_preprocessed_train.csv
drew,Picture Description,Yes,our_preprocessed_validation.csv
dsdk,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
dsjk,Other,Yes,our_preprocessed_train.csv
dspk,Sentence Reading,Yes,our_preprocessed_train.csv
dsqt,Voice Assistant,Yes,our_preprocessed_train.csv
dtit,Picture Description,Yes,our_preprocessed_train.csv
dtlz,Picture Description,Yes,our_preprocessed_validation.csv
dtod,Picture Description,Yes,our_preprocessed_test.csv
dtuu,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
duho,Picture Description,Yes,our_preprocessed_train.csv
dvpn,Semantic Verbal Fluency,Yes,our_preprocessed_validation.csv
dvpv,Picture Description,Yes,our_preprocessed_test.csv
dwjf,Picture Description,Yes,our_preprocessed_train.csv
dwqi,Picture Description,Yes,our_preprocessed_train.csv
dwqo,Sentence Reading,Yes,our_preprocessed_validation.csv
dxhp,Picture Description,Yes,our_preprocessed_train.csv
dxll,Picture Description,Yes,our_preprocessed_train.csv
dxpr,Voice Assistant,Yes,our_preprocessed_train.csv
dxri,Picture Description,Yes,our_preprocessed_validation.csv
dxyi,Other,Yes,our_preprocessed_train.csv
dxzb,Picture Description,Yes,our_preprocessed_train.csv
dywy,Sentence Reading,Yes,our_preprocessed_test.csv
dzoj,Picture Description,Yes,our_preprocessed_validation.csv
dzse,Picture Description,Yes,our_preprocessed_train.csv
dzsl,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
eacr,Picture Description,Yes,our_preprocessed_train.csv
eafy,Voice Assistant,Yes,our_preprocessed_train.csv
eaog,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
eaze,Picture Description,Yes,our_preprocessed_train.csv
ebft,Picture Description,Yes,our_preprocessed_test.csv
ebhi,Sentence Reading,Yes,our_preprocessed_train.csv
ebjj,Sentence Reading,Yes,our_preprocessed_validation.csv
ebyu,Picture Description,Yes,our_preprocessed_train.csv
ecqk,Picture Description,Yes,our_preprocessed_train.csv
ecsy,Personal Narrative,Yes,our_preprocessed_train.csv
ecuz,Personal Narrative,Yes,our_preprocessed_train.csv
ecvs,Voice Assistant,Yes,our_preprocessed_train.csv
ecym,Picture Description,Yes,our_preprocessed_train.csv
edos,Picture Description,Yes,our_preprocessed_test.csv
eefj,Sentence Reading,Yes,our_preprocessed_train.csv
efld,Picture Description,Yes,our_preprocessed_train.csv
efsl,Picture Description,Yes,our_preprocessed_train.csv
eglx,Sentence Reading,Yes,our_preprocessed_train.csv
ehva,Picture Description,Yes,our_preprocessed_train.csv
ekji,Story Recall,Yes,our_preprocessed_train.csv
ekpr,Picture Description,Yes,our_preprocessed_train.csv
ekrj,Sentence Reading,Yes,our_preprocessed_train.csv
ekuc,Sentence Reading,Yes,our_preprocessed_validation.csv
ekvd,Picture Description,Yes,our_preprocessed_test.csv
elbh,Sentence Reading,Yes,our_preprocessed_train.csv
eluz,Other,Yes,our_preprocessed_validation.csv
emco,Picture Description,No,our_preprocessed_train.csv
emfa,Picture Description,Yes,our_preprocessed_test.csv
emfv,Picture Description,Yes,our_preprocessed_train.csv
emjd,Picture Description,Yes,our_preprocessed_train.csv
empq,Picture Description,Yes,our_preprocessed_test.csv
empt,Picture Description,Yes,our_preprocessed_test.csv
empv,Other,Yes,our_preprocessed_train.csv
enis,Other,Yes,our_preprocessed_test.csv
ensg,Picture Description,Yes,our_preprocessed_train.csv
eogj,Picture Description,Yes,our_preprocessed_test.csv
eola,Sentence Reading,Yes,our_preprocessed_train.csv
eoyt,Sentence Reading,Yes,our_preprocessed_train.csv
epat,Picture Description,Yes,our_preprocessed_train.csv
epdw,Picture Description,Yes,our_preprocessed_test.csv
epon,Personal Narrative,Yes,our_preprocessed_train.csv
eqfp,Picture Description,Yes,our_preprocessed_train.csv
eqwm,Picture Description,Yes,our_preprocessed_train.csv
eqyg,Picture Description,Yes,our_preprocessed_train.csv
erin,Picture Description,Yes,our_preprocessed_test.csv
erwr,Sentence Reading,Yes,our_preprocessed_validation.csv
esaf,Picture Description,Yes,our_preprocessed_train.csv
escm,Picture Description,Yes,our_preprocessed_train.csv
esgu,Sentence Reading,Yes,our_preprocessed_validation.csv
esql,Picture Description,Yes,our_preprocessed_train.csv
etfn,Sentence Reading,Yes,our_preprocessed_test.csv
etou,Picture Description,Yes,our_preprocessed_train.csv
euil,Picture Description,Yes,our_preprocessed_train.csv
euja,Picture Description,Yes,our_preprocessed_test.csv
euof,Picture Description,Yes,our_preprocessed_test.csv
euwi,Sentence Reading,Yes,our_preprocessed_train.csv
euzm,Picture Description,Yes,our_preprocessed_train.csv
evni,Picture Description,Yes,our_preprocessed_train.csv
evtr,Sentence Reading,Yes,our_preprocessed_test.csv
evvz,Picture Description,Yes,our_preprocessed_test.csv
ewby,Picture Description,Yes,our_preprocessed_validation.csv
ewqw,Voice Assistant,Yes,our_preprocessed_train.csv
ewts,Picture Description,Yes,our_preprocessed_train.csv
ewuv,Picture Description,Yes,our_preprocessed_test.csv
ewxm,Picture Description,Yes,our_preprocessed_train.csv
exeb,Sentence Reading,Yes,our_preprocessed_validation.csv
exlu,Sentence Reading,Yes,our_preprocessed_train.csv
exnz,Picture Description,Yes,our_preprocessed_train.csv
exqc,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
ezcw,Picture Description,Yes,our_preprocessed_test.csv
facg,Picture Description,Yes,our_preprocessed_validation.csv
farx,Picture Description,Yes,our_preprocessed_train.csv
fats,Sentence Reading,Yes,our_preprocessed_train.csv
faxn,Personal Narrative,Yes,our_preprocessed_train.csv
fbiw,Sentence Reading,Yes,our_preprocessed_validation.csv
fbwv,Picture Description,Yes,our_preprocessed_test.csv
fbzr,Picture Description,Yes,our_preprocessed_validation.csv
fciv,Sentence Reading,Yes,our_preprocessed_train.csv
fcwt,Sentence Reading,Yes,our_preprocessed_test.csv
fdaw,Picture Description,Yes,our_preprocessed_train.csv
fdkq,Picture Description,Yes,our_preprocessed_train.csv
fdnd,Picture Description,Yes,our_preprocessed_train.csv
fdzt,Voice Assistant,Yes,our_preprocessed_validation.csv
fegh,Sentence Reading,Yes,our_preprocessed_train.csv
fens,Picture Description,Yes,our_preprocessed_validation.csv
feof,Picture Description,Yes,our_preprocessed_test.csv
fewd,Picture Description,Yes,our_preprocessed_train.csv
fewl,Picture Description,Yes,our_preprocessed_train.csv
ffgq,Picture Description,Yes,our_preprocessed_train.csv
ffho,Sentence Reading,Yes,our_preprocessed_train.csv
ffiv,Picture Description,Yes,our_preprocessed_train.csv
ffkm,Picture Description,Yes,our_preprocessed_train.csv
ffks,Picture Description,Yes,our_preprocessed_train.csv
fgbt,Picture Description,Yes,our_preprocessed_train.csv
fgtd,Picture Description,No,our_preprocessed_train.csv
fgzj,Picture Description,Yes,our_preprocessed_test.csv
fhea,Picture Description,Yes,our_preprocessed_train.csv
fhnu,Story Recall,Yes,our_preprocessed_train.csv
fhsx,Voice Assistant,Yes,our_preprocessed_validation.csv
fhto,Picture Description,Yes,our_preprocessed_train.csv
fixv,Personal Narrative,Yes,our_preprocessed_test.csv
fjqy,Picture Description,Yes,our_preprocessed_train.csv
fkce,Picture Description,Yes,our_preprocessed_train.csv
fkcr,Picture Description,Yes,our_preprocessed_train.csv
fknx,Picture Description,No,our_preprocessed_train.csv
fkvj,Voice Assistant,Yes,our_preprocessed_train.csv
flic,Sentence Reading,Yes,our_preprocessed_validation.csv
flje,Picture Description,Yes,our_preprocessed_validation.csv
flqa,Sentence Reading,Yes,our_preprocessed_train.csv
flzm,Picture Description,Yes,our_preprocessed_train.csv
fmef,Picture Description,Yes,our_preprocessed_train.csv
fmlw,Picture Description,Yes,our_preprocessed_train.csv
fmmu,Picture Description,Yes,our_preprocessed_train.csv
fmof,Picture Description,Yes,our_preprocessed_train.csv
fnas,Picture Description,Yes,our_preprocessed_train.csv
fnlu,Sentence Reading,Yes,our_preprocessed_test.csv
fnwb,Picture Description,Yes,our_preprocessed_train.csv
fokk,Sentence Reading,Yes,our_preprocessed_train.csv
fora,Picture Description,Yes,our_preprocessed_validation.csv
foso,Picture Description,Yes,our_preprocessed_validation.csv
fpbu,Sentence Reading,Yes,our_preprocessed_train.csv
fpiz,Picture Description,Yes,our_preprocessed_test.csv
fpmi,Picture Description,Yes,our_preprocessed_validation.csv
fppq,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
fqdl,Voice Assistant,Yes,our_preprocessed_validation.csv
fqef,Sentence Reading,Yes,our_preprocessed_train.csv
fqin,Picture Description,Yes,our_preprocessed_train.csv
fqni,Picture Description,Yes,our_preprocessed_train.csv
frap,Sentence Reading,Yes,our_preprocessed_validation.csv
frbl,Picture Description,Yes,our_preprocessed_train.csv
frix,Voice Assistant,Yes,our_preprocessed_validation.csv
frsq,Sentence Reading,Yes,our_preprocessed_validation.csv
frwu,Semantic Verbal Fluency,Yes,our_preprocessed_train.csv
fsjs,Picture Description,Yes,our_preprocessed_validation.csv
fslw,Picture Description,Yes,our_preprocessed_train.csv
ftgt,Sentence Reading,Yes,our_preprocessed_train.csv
ftlj,Picture Description,Yes,our_preprocessed_test.csv
fujc,Picture Description,Yes,our_preprocessed_train.csv
furj,Picture Description,Yes,our_preprocessed_train.csv
fuwt,Story Recall,Yes,our_preprocessed_train.csv
fvlb,Sentence Reading,Yes,our_preprocessed_train.csv
fwhr,Picture Description,Yes,our_preprocessed_train.csv
fwif,Picture Description,Yes,our_preprocessed_train.csv
fwwx,Semantic Verbal Fluency,Yes,our_preprocessed_test.csv
fwxp,Sentence Reading,Yes,our_preprocessed_train.csv
fxja,Sentence Reading,Yes,our_preprocessed_train.csv
fxwr,Picture Description,Yes,our_preprocessed_train.csv
fzco,Picture Description,Yes,our_preprocessed_train.csv
fzin,Picture Description,Yes,our_preprocessed_train.csv
fzjr,Picture Description,Yes,our_preprocessed_train.csv
fzuu,Picture Description,Yes,our_preprocessed_validation.csv
fzzu,Picture Description,Yes,our_preprocessed_validation.csv
gabp,Picture Description,Yes,our_preprocessed_train.csv
gafo,Picture Description,Yes,our_preprocessed_train.csv
gbnh,Picture Description,Yes,our_preprocessed_train.csv
gbrn,Picture Description,Yes,our_preprocessed_train.csv
gcbg,Sentence Reading,Yes,our_preprocessed_test.csv
gdis,Picture Description,Yes,our_preprocessed_train.csv
gdsq,Picture Description,Yes,our_preprocessed_test.csv
gdtc,Story Recall,Yes,our_preprocessed_train.csv
geaw,Picture Description,Yes,our_preprocessed_validation.csv
gehx,Picture Description,Yes,our_preprocessed_test.csv
genv,Picture Description,Yes,our_preprocessed_train.csv
geoe,Picture Description,Yes,our_preprocessed_train.csv
gfbg,Picture Description,Yes,our_preprocessed_train.csv
gfxo,Picture Description,Yes,our_preprocessed_train.csv
ggcp,Sentence Reading,Yes,our_preprocessed_train.csv
ggcs,Sentence Reading,Yes,our_preprocessed_validation.csv
ggfq,Picture Description,Yes,our_preprocessed_test.csv
ggme,Picture Description,Yes,our_preprocessed_train.csv
ggtq,Picture Description,Yes,our_preprocessed_train.csv
ghfo,Picture Description,Yes,our_preprocessed_train.csv
ghjh,Story Recall,Yes,our_preprocessed_train.csv
ghle,Picture Description,Yes,our_preprocessed_validation.csv
ghqf,Picture Description,Yes,our_preprocessed_train.csv
ghqn,Picture Description,Yes,our_preprocessed_test.csv
giat,Picture Description,Yes,our_preprocessed_train.csv
giet,Picture Description,Yes,our_preprocessed_train.csv
gimv,Picture Description,Yes,our_preprocessed_train.csv
girw,Picture Description,Yes,our_preprocessed_test.csv
giuk,Picture Description,Yes,our_preprocessed_train.csv
gjog,Sentence Reading,Yes,our_preprocessed_train.csv
gkaz,Picture Description,Yes,our_preprocessed_train.csv
gkds,Sentence Reading,Yes,our_preprocessed_train.csv
gkkg,Picture Description,Yes,our_preprocessed_train.csv
gkkl,Picture Description,Yes,our_preprocessed_train.csv
gknn,Sentence Reading,Yes,our_preprocessed_test.csv
gkoh,Picture Description,Yes,our_preprocessed_validation.csv
gktf,Picture Description,Yes,our_preprocessed_train.csv
gkxn,Picture Description,Yes,our_preprocessed_train.csv
gkzq,Sentence Reading,Yes,our_preprocessed_train.csv
glvo,Picture Description,Yes,our_preprocessed_train.csv
gmep,Picture Description,Yes,our_preprocessed_train.csv
gmge,Picture Description,No,our_preprocessed_train.csv
gmsj,Picture Description,Yes,our_preprocessed_validation.csv
gmst,Picture Description,Yes,our_preprocessed_train.csv
gnjd,Picture Description,Yes,our_preprocessed_test.csv
goof,Story Recall,Yes,our_preprocessed_test.csv
gore,Picture Description,Yes,our_preprocessed_validation.csv
gozc,Picture Description,Yes,our_preprocessed_train.csv
gpdj,Picture Description,Yes,our_preprocessed_validation.csv
gphj,Picture Description,Yes,our_preprocessed_train.csv
